# space PC R/W bits address value region; hex values. ROM reads omitted unless --trace-all
A 00014e W8 800001 00 cpu_control_stub
A 000156 W16 a00004 0001 palette_registers
A 00015e W16 c2000c 0028 tile_control
A 000166 W16 c2000e 0000 tile_control
A 00043e W16 a00000 0bff palette_registers
A 000440 W16 a00002 1084 palette_registers
A 00043e W16 a00000 0bfe palette_registers
A 000440 W16 a00002 1084 palette_registers
A 00043e W16 a00000 0bfd palette_registers
A 000440 W16 a00002 1084 palette_registers
A 00043e W16 a00000 0bfc palette_registers
A 000440 W16 a00002 1084 palette_registers
A 00043e W16 a00000 0bfb palette_registers
A 000440 W16 a00002 1084 palette_registers
A 00043e W16 a00000 0bfa palette_registers
A 000440 W16 a00002 1084 palette_registers
A 00043e W16 a00000 0bf9 palette_registers
A 000440 W16 a00002 1084 palette_registers
A 00043e W16 a00000 0bf8 palette_registers
A 000440 W16 a00002 1084 palette_registers
A 00043e W16 a00000 0bf7 palette_registers
A 000440 W16 a00002 1084 palette_registers
A 00043e W16 a00000 0bf6 palette_registers
A 000440 W16 a00002 1084 palette_registers
A 00043e W16 a00000 0bf5 palette_registers
A 000440 W16 a00002 1084 palette_registers
A 00043e W16 a00000 0bf4 palette_registers
A 000440 W16 a00002 1084 palette_registers
A 00043e W16 a00000 0bf3 palette_registers
A 000440 W16 a00002 1084 palette_registers
A 00043e W16 a00000 0bf2 palette_registers
A 000440 W16 a00002 1084 palette_registers
A 00043e W16 a00000 0bf1 palette_registers
A 000440 W16 a00002 1084 palette_registers
A 00043e W16 a00000 0bf0 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0bef palette_registers
A 000440 W16 a00002 218c palette_registers
A 00043e W16 a00000 0bee palette_registers
A 000440 W16 a00002 3a52 palette_registers
A 00043e W16 a00000 0bed palette_registers
A 000440 W16 a00002 5b5a palette_registers
A 00043e W16 a00000 0bec palette_registers
A 000440 W16 a00002 3140 palette_registers
A 00043e W16 a00000 0beb palette_registers
A 000440 W16 a00002 4a00 palette_registers
A 00043e W16 a00000 0bea palette_registers
A 000440 W16 a00002 7352 palette_registers
A 00043e W16 a00000 0be9 palette_registers
A 000440 W16 a00002 4212 palette_registers
A 00043e W16 a00000 0be8 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0be7 palette_registers
A 000440 W16 a00002 18c8 palette_registers
A 00043e W16 a00000 0be6 palette_registers
A 000440 W16 a00002 294c palette_registers
A 00043e W16 a00000 0be5 palette_registers
A 000440 W16 a00002 318e palette_registers
A 00043e W16 a00000 0be4 palette_registers
A 000440 W16 a00002 4a54 palette_registers
A 00043e W16 a00000 0be3 palette_registers
A 000440 W16 a00002 631a palette_registers
A 00043e W16 a00000 0be2 palette_registers
A 000440 W16 a00002 739e palette_registers
A 00043e W16 a00000 0be1 palette_registers
A 000440 W16 a00002 7bde palette_registers
A 00043e W16 a00000 0be0 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0bdf palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0bde palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0bdd palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0bdc palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0bdb palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0bda palette_registers
